                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.97497,                 0.6702,                 1.4341,                0.97885,                0.98518,                0.99185,                0.79926,                 0.8492,                0.52718,                 1.3776,             0.00085133,             0.00085133,             0.00085133
                     51,                0.99072,                0.67638,                 1.4784,                0.97749,                0.97345,                0.98883,                0.77849,                0.88412,                0.55489,                 1.4058,             0.00083954,             0.00083954,             0.00083954
                     52,                 0.9822,                0.68023,                 1.4552,                0.97194,                0.97691,                0.99106,                0.79497,                0.85653,                 0.5328,                 1.3848,             0.00082775,             0.00082775,             0.00082775
                     53,                 0.9704,                0.65089,                 1.4361,                0.96846,                0.97501,                 0.9893,                0.78905,                0.87455,                0.54914,                 1.3965,             0.00081596,             0.00081596,             0.00081596
                     54,                0.98231,                0.66377,                 1.4293,                0.96617,                0.97066,                0.99214,                 0.8083,                0.80799,                0.54673,                 1.3505,             0.00080417,             0.00080417,             0.00080417
                     55,                0.97004,                0.63772,                 1.4344,                0.97523,                0.97437,                0.99281,                0.81697,                0.80032,                0.49151,                 1.3538,             0.00079238,             0.00079238,             0.00079238
                     56,                0.95569,                0.65742,                 1.4308,                0.97164,                0.96107,                0.98781,                0.77896,                0.90394,                0.54533,                 1.4369,             0.00078059,             0.00078059,             0.00078059
                     57,                0.95767,                0.63459,                  1.415,                0.97448,                0.97552,                0.99208,                0.80468,                0.83514,                0.51181,                 1.3639,              0.0007688,              0.0007688,              0.0007688
                     58,                0.95169,                0.64127,                 1.4186,                0.97378,                0.96383,                0.99167,                0.80427,                 0.8345,                 0.5508,                 1.3605,             0.00075701,             0.00075701,             0.00075701
                     59,                0.94114,                0.65344,                 1.4039,                0.97606,                0.95661,                0.99018,                 0.7944,                0.85402,                0.51239,                 1.3897,             0.00074522,             0.00074522,             0.00074522
                     60,                0.94408,                 0.6353,                 1.4233,                0.97703,                0.97362,                0.99263,                0.81635,                0.79409,                0.50349,                 1.3294,             0.00073343,             0.00073343,             0.00073343
                     61,                0.95187,                0.63324,                 1.4163,                0.98814,                0.98021,                0.99312,                0.81529,                0.81028,                 0.4846,                 1.3481,             0.00072164,             0.00072164,             0.00072164
                     62,                0.96354,                0.63221,                 1.4333,                0.98618,                0.97569,                0.99282,                0.81948,                 0.7858,                0.49223,                 1.3229,             0.00070986,             0.00070986,             0.00070986
                     63,                0.95514,                0.63205,                 1.4437,                0.96649,                0.98166,                0.99305,                0.82275,                0.77605,                0.46315,                 1.3139,             0.00069807,             0.00069807,             0.00069807
                     64,                0.92942,                0.61343,                 1.3938,                0.97105,                0.97561,                0.99236,                0.80242,                0.82982,                0.51052,                 1.3668,             0.00068628,             0.00068628,             0.00068628
                     65,                 0.9199,                0.60471,                 1.4134,                0.97913,                0.97798,                0.99337,                0.82497,                0.77296,                0.46502,                   1.31,             0.00067449,             0.00067449,             0.00067449
                     66,                0.91053,                0.59566,                 1.3844,                0.98176,                 0.9754,                0.99327,                0.81587,                0.79498,                0.47649,                 1.3297,              0.0006627,              0.0006627,              0.0006627
                     67,                0.94296,                0.61432,                 1.4143,                0.97929,                0.97679,                 0.9931,                0.81548,                0.78493,                0.47051,                 1.3176,             0.00065091,             0.00065091,             0.00065091
                     68,                 0.9037,                0.58757,                 1.3798,                0.98883,                0.97893,                0.99344,                 0.8164,                0.78472,                0.46559,                 1.3205,             0.00063912,             0.00063912,             0.00063912
                     69,                0.91014,                0.58878,                 1.3807,                0.97453,                0.98518,                 0.9938,                0.82337,                0.76532,                0.44954,                 1.3107,             0.00062733,             0.00062733,             0.00062733
                     70,                0.91946,                 0.6025,                 1.3798,                0.98278,                0.98806,                0.99361,                0.82067,                0.77168,                0.44665,                 1.3147,             0.00061554,             0.00061554,             0.00061554
                     71,                0.91096,                0.60125,                 1.3809,                0.98532,                 0.9811,                0.99382,                0.82245,                0.78199,                0.44288,                  1.308,             0.00060375,             0.00060375,             0.00060375
                     72,                0.90358,                0.59772,                 1.3632,                0.98566,                0.98017,                0.99388,                0.82044,                0.78309,                0.45333,                 1.3108,             0.00059196,             0.00059196,             0.00059196
                     73,                0.88649,                0.56861,                 1.3554,                0.98727,                0.97872,                0.99346,                0.82646,                0.76052,                0.44416,                 1.2869,             0.00058017,             0.00058017,             0.00058017
                     74,                0.88792,                0.58044,                  1.363,                0.97491,                0.98457,                0.99293,                0.81391,                0.79611,                0.44482,                 1.3333,             0.00056838,             0.00056838,             0.00056838
                     75,                0.89621,                0.57966,                 1.3507,                0.97832,                0.98317,                0.99303,                0.83333,                0.75835,                0.43738,                 1.2976,              0.0005566,              0.0005566,              0.0005566
                     76,                 0.8641,                0.57225,                 1.3475,                0.98981,                0.98496,                0.99264,                0.82573,                0.76416,                0.42862,                 1.2956,             0.00054481,             0.00054481,             0.00054481
                     77,                 0.8798,                0.57496,                 1.3537,                 0.9882,                0.98201,                0.99357,                0.82294,                0.76038,                0.43061,                 1.2943,             0.00053302,             0.00053302,             0.00053302
                     78,                0.88251,                0.57356,                 1.3654,                0.98295,                0.98727,                0.99347,                0.84006,                0.72237,                0.41722,                  1.256,             0.00052123,             0.00052123,             0.00052123
                     79,                 0.8659,                0.55934,                 1.3332,                0.98434,                0.98722,                0.99361,                 0.8386,                0.72491,                0.41882,                  1.266,             0.00050944,             0.00050944,             0.00050944
                     80,                0.86858,                0.56299,                 1.3631,                0.98372,                0.98129,                0.99264,                0.83233,                0.72794,                0.42565,                 1.2685,             0.00049765,             0.00049765,             0.00049765
                     81,                0.87073,                0.56611,                 1.3497,                0.98524,                0.98818,                0.99399,                0.83864,                0.72226,                0.40886,                 1.2567,             0.00048586,             0.00048586,             0.00048586
                     82,                0.85503,                0.54261,                 1.3542,                0.97992,                0.99256,                0.99419,                0.84446,                0.70438,                0.39883,                 1.2395,             0.00047407,             0.00047407,             0.00047407
                     83,                 0.8541,                0.54244,                 1.3281,                0.97496,                0.98654,                0.99265,                0.83823,                0.71814,                 0.4198,                 1.2501,             0.00046228,             0.00046228,             0.00046228
                     84,                0.86538,                0.55212,                 1.3443,                0.98074,                0.98732,                0.99382,                0.83633,                0.71391,                0.41351,                 1.2561,             0.00045049,             0.00045049,             0.00045049
                     85,                0.84395,                0.54405,                 1.3228,                0.98612,                0.98106,                0.99402,                0.84559,                0.71835,                0.41384,                 1.2529,              0.0004387,              0.0004387,              0.0004387
                     86,                 0.8332,                0.54153,                 1.3378,                0.97544,                0.99433,                 0.9917,                0.83803,                0.71359,                0.41804,                 1.2425,             0.00042691,             0.00042691,             0.00042691
                     87,                0.84441,                  0.533,                 1.3192,                0.98277,                0.98742,                0.99283,                0.84295,                0.71936,                0.40869,                  1.257,             0.00041512,             0.00041512,             0.00041512
                     88,                0.83953,                0.53947,                 1.3201,                0.98587,                0.98633,                0.99438,                0.84345,                0.70673,                0.40261,                 1.2407,             0.00040334,             0.00040334,             0.00040334
                     89,                0.84503,                0.55164,                 1.3382,                0.98721,                0.98775,                0.99438,                 0.8443,                0.70986,                0.40002,                  1.242,             0.00039155,             0.00039155,             0.00039155
